iter	Passed	Remaining
0	58	58061
1	58	29370
2	59	19749
3	60	14950
4	60	12104
5	61	10168
6	62	8810
7	62	7795
8	63	6986
9	63	6334
10	64	5800
11	65	5370
12	65	5001
13	66	4675
14	67	4404
15	67	4161
16	68	3950
17	68	3757
18	69	3587
19	70	3438
20	70	3298
21	71	3174
22	71	3056
23	72	2946
24	73	2854
25	73	2765
26	74	2681
27	74	2602
28	77	2594
29	78	2527
30	78	2460
31	79	2397
32	79	2340
33	80	2300
34	81	2255
35	82	2210
36	83	2160
37	83	2117
38	84	2081
39	85	2042
40	85	2007
41	86	1973
42	87	1937
43	87	1909
44	88	1881
45	89	1851
46	89	1823
47	90	1798
48	91	1772
49	92	1749
50	92	1726
51	93	1703
52	93	1678
53	94	1656
54	95	1636
55	95	1615
56	96	1592
57	97	1586
58	98	1571
59	99	1551
60	99	1533
61	101	1533
62	102	1518
63	103	1508
64	103	1490
65	104	1477
66	105	1463
67	105	1445
68	106	1434
69	107	1423
70	107	1410
71	108	1397
72	108	1384
73	109	1371
74	110	1357
75	110	1344
76	111	1333
77	111	1322
78	112	1310
79	112	1299
80	113	1288
81	114	1277
82	114	1268
83	115	1257
84	115	1243
85	116	1233
86	116	1220
87	116	1210
88	117	1200
89	117	1191
90	119	1195
91	120	1191
92	121	1184
93	122	1178
94	122	1170
95	123	1162
96	123	1153
97	124	1147
98	125	1141
99	126	1134
100	127	1131
101	127	1121
102	127	1113
103	128	1105
104	129	1104
105	130	1098
106	130	1091
107	131	1087
108	132	1081
109	132	1075
110	133	1069
111	134	1064
112	134	1059
113	139	1083
114	140	1077
115	140	1071
116	141	1067
117	142	1062
118	142	1056
119	147	1078
120	147	1072
121	148	1065
122	148	1057
123	149	1053
124	149	1047
125	152	1057
126	153	1052
127	153	1045
128	154	1040
129	154	1034
130	155	1028
131	155	1024
132	156	1018
133	156	1014
134	157	1009
135	158	1007
136	159	1004
137	159	999
138	160	993
139	161	989
140	161	984
141	162	980
142	162	976
143	163	973
144	164	968
145	164	964
146	165	962
147	166	958
148	167	955
149	167	951
150	168	947
151	169	943
152	169	939
153	170	935
154	170	930
155	171	927
156	172	924
157	172	920
158	173	917
159	174	915
160	175	912
161	175	909
162	176	905
163	176	901
164	177	898
165	178	895
166	178	892
167	179	888
168	179	885
169	180	881
170	181	878
171	181	875
172	182	871
173	183	868
174	183	866
175	184	862
176	184	859
177	185	856
178	186	853
179	186	850
180	186	845
181	187	842
182	188	839
183	188	837
184	189	834
185	190	831
186	190	828
187	191	825
188	191	822
189	192	819
190	192	816
191	193	813
192	193	810
193	194	808
194	194	804
195	195	802
196	196	800
197	197	798
198	197	796
199	198	794
200	199	791
201	199	789
202	200	786
203	200	783
204	201	781
205	202	779
206	202	776
207	203	773
208	203	771
209	204	768
210	204	766
211	205	764
212	206	762
213	207	760
214	207	758
215	208	755
216	209	755
217	209	752
218	210	749
219	210	747
220	211	744
221	211	742
222	212	740
223	213	738
224	213	736
225	214	734
226	215	732
227	215	729
228	216	728
229	216	725
230	217	723
231	217	720
232	218	718
233	218	716
234	219	714
235	220	712
236	220	710
237	221	708
238	222	707
239	222	705
240	223	702
241	223	701
242	224	699
243	225	697
244	225	695
245	226	693
246	226	691
247	227	689
248	228	688
249	228	686
250	229	684
251	229	682
252	230	680
253	230	678
254	231	676
255	232	674
256	232	673
257	233	670
258	233	668
259	234	667
260	234	665
261	235	663
262	236	661
263	236	659
264	237	657
265	237	655
266	238	653
267	238	652
268	239	650
269	239	648
270	240	646
271	241	645
272	241	643
273	242	641
274	242	639
275	243	638
276	243	636
277	244	635
278	245	633
279	245	631
280	246	629
281	246	628
282	247	626
283	247	624
284	248	622
285	248	621
286	249	619
287	249	617
288	250	616
289	251	614
290	251	613
291	252	611
292	252	609
293	253	608
294	254	607
295	254	605
296	255	604
297	255	602
298	256	601
299	256	599
300	257	597
301	258	596
302	258	594
303	259	593
304	259	592
305	260	590
306	260	589
307	261	587
308	261	585
309	262	584
310	262	582
311	264	582
312	265	581
313	265	580
314	266	578
315	266	577
316	267	576
317	268	574
318	268	573
319	269	572
320	269	570
321	270	569
322	271	568
323	271	566
324	272	565
325	272	563
326	273	562
327	273	561
328	274	559
329	275	558
330	275	556
331	276	555
332	276	554
333	277	553
334	277	551
335	278	550
336	278	548
337	279	547
338	280	545
339	280	544
340	281	543
341	281	541
342	282	540
343	282	539
344	283	538
345	284	536
346	284	535
347	285	534
348	285	532
349	286	531
350	286	530
351	287	529
352	287	527
353	288	526
354	289	525
355	289	524
356	290	523
357	291	521
358	291	520
359	292	519
360	292	518
361	293	516
362	293	515
363	294	513
364	295	513
365	297	515
366	298	514
367	298	513
368	299	511
369	300	510
370	300	509
371	301	508
372	301	507
373	302	506
374	302	504
375	303	503
376	304	502
377	304	501
378	305	500
379	305	499
380	306	497
381	307	496
382	307	495
383	308	494
384	308	493
385	309	492
386	309	491
387	310	489
388	311	488
389	311	487
390	312	486
391	312	485
392	313	484
393	313	482
394	314	481
395	315	480
396	315	479
397	316	478
398	316	477
399	317	475
400	317	474
401	318	473
402	319	472
403	319	471
404	320	470
405	320	469
406	321	468
407	322	467
408	322	466
409	323	465
410	323	464
411	324	463
412	325	462
413	325	461
414	326	459
415	326	458
416	327	457
417	327	456
418	328	455
419	328	454
420	329	453
421	329	451
422	330	451
423	331	449
424	331	448
425	332	447
426	332	446
427	333	445
428	333	444
429	334	443
